date,state,recovered,deaths,total individuals vaccinated,confirmed
2024-12-31,a & n islands,0.0,0.0,0.0,500.0
2023-05-05,a&n islands,10637.0,129.0,0.0,11266.0
2021-01-16,andaman and nicobar islands,0.0,0.0,23.0,500.0
2021-01-17,andaman and nicobar islands,0.0,0.0,23.0,500.0
2021-01-18,andaman and nicobar islands,0.0,0.0,42.0,500.0
2021-01-19,andaman and nicobar islands,0.0,0.0,89.0,500.0
2021-01-20,andaman and nicobar islands,0.0,0.0,124.0,500.0
2021-01-21,andaman and nicobar islands,0.0,0.0,239.0,500.0
2021-01-22,andaman and nicobar islands,0.0,0.0,552.0,500.0
2021-01-23,andaman and nicobar islands,0.0,0.0,920.0,500.0
2021-01-24,andaman and nicobar islands,0.0,0.0,966.0,500.0
2021-01-25,andaman and nicobar islands,0.0,0.0,1519.0,500.0
2021-01-26,andaman and nicobar islands,0.0,0.0,1519.0,500.0
2021-01-27,andaman and nicobar islands,0.0,0.0,1519.0,500.0
2021-01-28,andaman and nicobar islands,0.0,0.0,1956.0,500.0
2021-01-29,andaman and nicobar islands,0.0,0.0,2024.0,500.0
2021-01-30,andaman and nicobar islands,0.0,0.0,2060.0,500.0
2021-01-31,andaman and nicobar islands,0.0,0.0,2060.0,500.0
2021-02-01,andaman and nicobar islands,0.0,0.0,2060.0,500.0
2021-02-02,andaman and nicobar islands,0.0,0.0,2060.0,500.0
2021-02-03,andaman and nicobar islands,0.0,0.0,2107.0,500.0
2021-02-04,andaman and nicobar islands,0.0,0.0,2290.0,500.0
2021-02-05,andaman and nicobar islands,0.0,0.0,2514.0,500.0
2021-02-06,andaman and nicobar islands,0.0,0.0,2780.0,500.0
2021-02-07,andaman and nicobar islands,0.0,0.0,2780.0,500.0
2021-02-08,andaman and nicobar islands,0.0,0.0,2780.0,500.0
2021-02-09,andaman and nicobar islands,0.0,0.0,2780.0,500.0
2021-02-10,andaman and nicobar islands,0.0,0.0,2780.0,500.0
2021-02-11,andaman and nicobar islands,0.0,0.0,2780.0,500.0
2021-02-12,andaman and nicobar islands,0.0,0.0,2852.0,500.0
2021-02-13,andaman and nicobar islands,0.0,0.0,3040.0,500.0
2021-02-14,andaman and nicobar islands,0.0,0.0,3040.0,500.0
2021-02-15,andaman and nicobar islands,0.0,0.0,3363.0,500.0
2021-02-16,andaman and nicobar islands,0.0,0.0,3363.0,500.0
2021-02-17,andaman and nicobar islands,0.0,0.0,3560.0,500.0
2021-02-18,andaman and nicobar islands,0.0,0.0,3505.0,500.0
2021-02-19,andaman and nicobar islands,0.0,0.0,4246.0,500.0
2021-02-20,andaman and nicobar islands,0.0,0.0,4707.0,500.0
